Open,Close,High,Low,Volume,Date
0,563.243,0,0,,02/26/26
0,562.499,0,0,,02/25/26
0,560.992,0,0,,02/24/26
0,561.329,0,0,,02/23/26
0,562.373,0,0,,02/20/26
0,560.986,0,0,,02/19/26
0,559.857,0,0,,02/18/26
0,554.962,0,0,,02/13/26
0,555.248,0,0,,02/12/26
0,565.52,0,0,,02/11/26
0,564.282,0,0,,02/10/26
0,563.101,0,0,,02/09/26
0,555.506,0,0,,02/06/26
0,554.758,0,0,,02/05/26
0,567.557,0,0,,02/04/26
0,550.802,0,0,,02/03/26
0,541.264,0,0,,02/02/26
0,561.357,0,0,,01/30/26
0,522.164,0,0,,01/29/26
0,520.843,0,0,,01/28/26
0,520.47,0,0,,01/27/26
0,517.932,0,0,,01/26/26
0,518.737,0,0,,01/23/26
0,515.981,0,0,,01/22/26
0,518.842,0,0,,01/21/26
0,515.293,0,0,,01/20/26
0,512.075,0,0,,01/16/26
0,511.088,0,0,,01/15/26
0,524.861,0,0,,01/14/26
0,520.728,0,0,,01/13/26
0,511.945,0,0,,01/12/26
0,511.169,0,0,,01/09/26
0,504.076,0,0,,01/08/26
0,488.483,0,0,,01/07/26
0,487.868,0,0,,01/06/26
0,491.77,0,0,,01/05/26
0,488.025,0,0,,01/02/26
0,504.93,0,0,,12/31/25
0,504.766,0,0,,12/30/25
0,505.115,0,0,,12/29/25
0,504.075,0,0,,12/26/25
0,505.791,0,0,,12/24/25
0,506.581,0,0,,12/23/25
0,507.422,0,0,,12/22/25
0,504.422,0,0,,12/19/25
0,502.288,0,0,,12/18/25
0,501.781,0,0,,12/17/25
0,499.339,0,0,,12/16/25
0,505.848,0,0,,12/15/25
0,508.169,0,0,,12/12/25
0,511.723,0,0,,12/11/25
0,519.458,0,0,,12/10/25
0,516.561,0,0,,12/09/25
0,516.855,0,0,,12/08/25
0,521.583,0,0,,12/05/25
0,517.564,0,0,,12/04/25
0,512.905,0,0,,12/03/25
0,510.344,0,0,,12/02/25
0,516.776,0,0,,12/01/25
0,510.733,0,0,,11/28/25
0,529.173,0,0,,11/26/25
0,528.218,0,0,,11/25/25
0,530.39,0,0,,11/24/25
0,530.461,0,0,,11/21/25
0,532.838,0,0,,11/20/25
0,534.045,0,0,,11/19/25
0,538.723,0,0,,11/18/25
0,536.463,0,0,,11/17/25
0,540.329,0,0,,11/14/25
0,535.726,0,0,,11/13/25
0,533.441,0,0,,11/12/25
0,544.805,0,0,,11/11/25
0,540.503,0,0,,11/10/25
0,539.853,0,0,,11/07/25
0,539.82,0,0,,11/06/25
0,534.865,0,0,,11/05/25
0,538.875,0,0,,11/04/25
0,542.458,0,0,,11/03/25
0,527.891,0,0,,10/31/25
0,527.551,0,0,,10/30/25
0,527.011,0,0,,10/29/25
0,526.262,0,0,,10/28/25
0,527.105,0,0,,10/27/25
0,527.229,0,0,,10/24/25
0,527.271,0,0,,10/23/25
0,521.261,0,0,,10/22/25
0,516.511,0,0,,10/21/25
0,515.316,0,0,,10/20/25
0,516.144,0,0,,10/17/25
0,514.459,0,0,,10/16/25
0,518.343,0,0,,10/15/25
0,521.319,0,0,,10/14/25
0,529.227,0,0,,10/13/25
0,527.963,0,0,,10/10/25
0,540.927,0,0,,10/09/25
0,545.282,0,0,,10/08/25
0,543.55,0,0,,10/07/25
0,542.576,0,0,,10/06/25
0,535.577,0,0,,10/03/25
0,532.934,0,0,,10/02/25
0,537.858,0,0,,10/01/25
0,562.114,0,0,,09/30/25
0,562.753,0,0,,09/29/25
0,564.204,0,0,,09/26/25
0,563.997,0,0,,09/25/25
0,564.384,0,0,,09/24/25
0,562.723,0,0,,09/23/25
0,560.353,0,0,,09/22/25
0,560.534,0,0,,09/19/25
0,563.359,0,0,,09/18/25
0,565.095,0,0,,09/17/25
0,570.339,0,0,,09/16/25
0,566.256,0,0,,09/15/25
0,564.517,0,0,,09/12/25
0,561.117,0,0,,09/11/25
0,565.082,0,0,,09/10/25
0,559.322,0,0,,09/09/25
0,554.321,0,0,,09/08/25
0,552.65,0,0,,09/05/25
0,564.247,0,0,,09/04/25
0,565.074,0,0,,09/03/25
0,572.756,0,0,,09/02/25
0,559.2,0,0,,08/29/25
0,559.447,0,0,,08/28/25
0,559.324,0,0,,08/27/25
0,558.513,0,0,,08/26/25
0,560.116,0,0,,08/25/25
0,558.159,0,0,,08/22/25
0,559.223,0,0,,08/21/25
0,556.952,0,0,,08/20/25
0,553.733,0,0,,08/19/25
0,555.043,0,0,,08/18/25
0,552.563,0,0,,08/15/25
0,554.786,0,0,,08/14/25
0,550.717,0,0,,08/13/25
0,551.627,0,0,,08/12/25
0,554.436,0,0,,08/11/25
0,555.847,0,0,,08/08/25
0,553.999,0,0,,08/07/25
0,550.982,0,0,,08/06/25
0,555.851,0,0,,08/05/25
